;t_id;h_id
1758;6011;288
1759;6031;121
1760;6036;347
1761;6036;122
1762;6036;288
1763;6043;314
1764;6043;90
1765;6071;331
1766;6071;222
1767;6075;326
1768;6083;288
